property_id,location,property_type,area_sqft,road_width_ft,distance_from_city_center_km,property_age_years,price_inr
GKP0001,Medical College Road,House,3254,40,15.6,13,11220000
GKP0002,Gida,Commercial Property,4886,40,3.7,18,16460000
GKP0003,Gida,Agricultural Land,13011,40,18.3,0,9490000
GKP0004,Betiahata,Residential Plot,1005,20,2.3,0,4430000
GKP0005,Khorabar,Commercial Property,3269,18,21.4,18,9820000
GKP0006,Mohaddipur,Residential Plot,4025,18,1.9,0,14140000
GKP0007,Gida,House,3745,18,7.8,23,7830000
GKP0008,Transport Nagar,House,3326,20,11.0,5,9850000
GKP0009,Medical College Road,House,3803,12,15.7,13,11550000
GKP0010,Chargawan,Commercial Property,2345,40,7.1,20,7540000
GKP0011,Kunraghat,Residential Plot,4264,12,1.2,0,11280000
GKP0012,Padri Bazar,Commercial Property,3425,40,10.6,7,14290000
GKP0013,Taramandal,Residential Plot,1215,18,10.9,0,3690000
GKP0014,Mohaddipur,Commercial Property,3001,25,12.7,16,16550000
GKP0015,Golghar,Residential Plot,2129,18,5.5,0,10600000
GKP0016,Transport Nagar,Residential Plot,4355,40,6.9,0,11260000
GKP0017,Taramandal,House,1116,20,15.0,17,4000000
GKP0018,Padri Bazar,Commercial Property,1810,18,2.9,4,7310000
GKP0019,Taramandal,House,3067,60,4.2,4,18960000
GKP0020,Gida,House,1248,15,14.2,11,2690000
GKP0021,Khorabar,Residential Plot,2107,12,21.2,0,4030000
GKP0022,Gida,Residential Plot,3679,30,17.4,0,7090000
GKP0023,Transport Nagar,House,3132,10,20.0,8,8480000
GKP0024,Medical College Road,Residential Plot,3775,15,13.2,0,8720000
GKP0025,Sahjanwa,Commercial Property,4326,30,10.1,12,11200000
GKP0026,Rapti Nagar,House,2628,10,9.7,19,7960000
GKP0027,Rapti Nagar,Residential Plot,2774,25,3.2,0,8940000
GKP0028,Rapti Nagar,Residential Plot,1920,60,13.2,0,6750000
GKP0029,Betiahata,Residential Plot,3200,12,11.1,0,12450000
GKP0030,Transport Nagar,Residential Plot,1814,20,11.3,0,4550000
GKP0031,Rapti Nagar,House,2587,15,8.0,25,8470000
GKP0032,Chargawan,Residential Plot,2531,18,19.8,0,3590000
GKP0033,Chargawan,House,1742,25,6.9,3,4700000
GKP0034,Mohaddipur,Commercial Property,4713,15,20.2,19,21440000
GKP0035,Medical College Road,Residential Plot,1221,20,8.8,0,3570000
GKP0036,Sahjanwa,Residential Plot,4157,12,7.1,0,5900000
GKP0037,Transport Nagar,Residential Plot,4963,60,4.5,0,13910000
GKP0038,Khorabar,Agricultural Land,14748,12,16.7,0,11150000
GKP0039,Naushad,Agricultural Land,6131,20,7.6,0,4120000
GKP0040,Kunraghat,Residential Plot,3511,40,16.7,0,8610000
GKP0041,Medical College Road,Agricultural Land,28589,15,3.6,0,31890000
GKP0042,Naushad,Residential Plot,1274,18,19.4,0,1740000
GKP0043,Golghar,Residential Plot,4992,30,21.4,0,24100000
GKP0044,Sahjanwa,Residential Plot,1233,12,3.8,0,1870000
GKP0045,Rustampur,Residential Plot,1905,20,15.6,0,4600000
GKP0046,Sahjanwa,Commercial Property,1239,30,16.5,0,2960000
GKP0047,Sahjanwa,Agricultural Land,6341,10,7.3,0,3390000
GKP0048,Kunraghat,House,1735,20,20.4,29,3720000
GKP0049,Khorabar,House,1189,40,3.9,19,3500000
GKP0050,Medical College Road,Agricultural Land,7481,25,20.6,0,7700000
GKP0051,Sahjanwa,Commercial Property,2497,10,3.3,22,5840000
GKP0052,Rustampur,Residential Plot,4106,18,13.7,0,10590000
GKP0053,Gida,House,1656,12,9.9,12,3940000
GKP0054,Kunraghat,Commercial Property,1588,20,6.0,11,6830000
GKP0055,Rustampur,Commercial Property,4808,40,13.5,2,21690000
GKP0056,Taramandal,Commercial Property,1798,60,20.3,8,10160000
GKP0057,Rapti Nagar,Residential Plot,3141,12,3.4,0,8110000
GKP0058,Mohaddipur,Residential Plot,843,40,13.4,0,3580000
GKP0059,Taramandal,Residential Plot,4244,15,11.6,0,13430000
GKP0060,Padri Bazar,Residential Plot,4345,20,6.0,0,8890000
GKP0061,Rapti Nagar,House,3832,15,8.8,12,14090000
GKP0062,Taramandal,Residential Plot,1010,40,2.1,0,4200000
GKP0063,Mohaddipur,Commercial Property,765,60,21.6,20,5300000
GKP0064,Golghar,House,3273,40,3.8,19,24560000
GKP0065,Khorabar,Commercial Property,2717,20,9.1,21,8520000
GKP0066,Rustampur,Residential Plot,1772,18,9.8,0,4070000
GKP0067,Gida,Residential Plot,2822,18,7.9,0,4990000
GKP0068,Rapti Nagar,Residential Plot,3617,40,20.2,0,10870000
GKP0069,Transport Nagar,Residential Plot,2626,20,18.8,0,5770000
GKP0070,Rustampur,House,3355,25,7.1,23,11110000
GKP0071,Taramandal,House,1368,40,3.8,15,6680000
GKP0072,Betiahata,Commercial Property,747,10,20.7,15,3610000
GKP0073,Transport Nagar,Commercial Property,4807,25,17.4,10,19020000
GKP0074,Naushad,Residential Plot,4763,30,3.0,0,9100000
GKP0075,Golghar,Residential Plot,1169,25,13.0,0,5830000
GKP0076,Mohaddipur,Commercial Property,2756,40,11.3,23,17190000
GKP0077,Rapti Nagar,Residential Plot,4698,40,2.8,0,17160000
GKP0078,Medical College Road,Residential Plot,4656,30,15.1,0,12320000
GKP0079,Padri Bazar,Commercial Property,4523,15,8.6,16,13900000
GKP0080,Khorabar,Residential Plot,1293,10,10.2,0,2420000
GKP0081,Transport Nagar,Commercial Property,1127,60,17.4,14,5040000
GKP0082,Transport Nagar,Residential Plot,3469,60,16.1,0,10930000
GKP0083,Sahjanwa,Commercial Property,856,25,3.6,22,2040000
GKP0084,Taramandal,Residential Plot,3619,10,18.3,0,9400000
GKP0085,Sahjanwa,House,1741,10,20.3,13,3030000
GKP0086,Khorabar,Residential Plot,2320,60,19.5,0,5300000
GKP0087,Padri Bazar,Residential Plot,4283,25,15.0,0,9280000
GKP0088,Transport Nagar,Residential Plot,3595,60,1.6,0,10860000
GKP0089,Sahjanwa,Commercial Property,972,12,20.1,21,1900000
GKP0090,Naushad,Residential Plot,759,12,13.7,0,1230000
GKP0091,Taramandal,Residential Plot,1866,40,2.2,0,7550000
GKP0092,Transport Nagar,Commercial Property,4661,30,18.6,21,14210000
GKP0093,Sahjanwa,Residential Plot,1488,30,16.6,0,2240000
GKP0094,Gida,Commercial Property,2409,40,5.1,4,8670000
GKP0095,Padri Bazar,Commercial Property,2756,30,2.1,25,9880000
GKP0096,Betiahata,Residential Plot,1564,40,15.9,0,6040000
GKP0097,Kunraghat,Residential Plot,1003,18,10.6,0,2510000
GKP0098,Transport Nagar,House,3580,20,20.9,17,8880000
GKP0099,Rapti Nagar,House,2474,15,20.8,21,6830000
